upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
miR-4747-5p (and other miRNAs w/seed GGGAAGG),NA,mature microrna,NA,0.699,1.06e-4,"ABLIM1,ACSS1,ADAMTS14,ADORA1,AIF1L,AP1M1,APCDD1,ATF3,BDKRB2,CHDH,COL1A1,CORO2B,CREB5,DKK2,DUSP10,EDA,EFR3B,EGR3,EPHA5,EPHB2,FAIM2,FAM105A,FAM107A,FZD8,HIGD1A,IFI44L,KCNK15,KCNS1,KLLN,LRRC25,MARCKSL1,MMP15,MYADM,NKD1,P2RX7,PCDHGC5,PIK3R3,PKNOX2,PRDM1,RAB11FIP4,RGS6,RNF144B,SAMHD1,SCN7A,SLC7A14,SLC7A5,SORT1,SPTBN4,SSH2,STARD7,STEAP4,STUM,SUN2,TGFB2,TIMP4,TJP2,TMEM35A,TRPV6,TUBB,WNT2,ZDHHC23,ZNF821",NA
SATB1,NA,transcription regulator,NA,0.645,1.06e-4,"BLNK,CORO6,EVI2A,GADD45B,GDF15,RASGRP2,S1PR1,SIPA1L2,SUN2,TNFSF13B,TSC22D3,TSLP,TUBA4A,WARS",NA
miR-193a-3p (and other miRNAs w/seed ACUGGCC),NA,mature microrna,NA,-0.809,1.07e-4,"ADARB1,C9orf3,COL4A3,CSRNP3,DDAH1,DIO2,DKK2,DOK6,ENDOD1,ENPP1,FAIM2,FLRT3,GPR20,GPRC5B,IFI44L,IRS2,LGR4,MARCKSL1,N4BP3,NAV3,NEDD4L,NEDD9,OLAH,PAIP2B,PER3,PPTC7,PREB,RAMP3,RAPGEF5,RASD2,RGL1,RNF144B,SCARF1,SIGLEC15,SLC7A5,SLC7A6,STARD7,STEAP2,TENM4,TGFB2,TNFSF9,USP53,VASH2,YIF1B,ZHX3",NA
miR-548v (miRNAs w/seed GCUACAG),NA,mature microrna,NA,0.031,1.08e-4,"ADH1B,ASB5,BEGAIN,C4orf46,CDC42EP3,COL4A4,CPM,CYP24A1,DNAJB4,DNAJC6,EOGT,EPHA5,FBN2,GPM6B,HIGD1A,IGDCC4,KCNQ3,KCTD12,LGI3,LRRTM2,MEX3B,PKIA,RGS6,SCD,SEMA6D,SLC6A9,SOX4,SYDE2,TEX2,TNFSF13B,TSC22D3,ULK2,WNT2",NA
miR-377-3p (miRNAs w/seed UCACACA),NA,mature microrna,NA,-0.255,1.09e-4,"ADAMTS5,ADARB1,AHCTF1,ARHGAP29,ARHGEF28,ARMC8,ATP10A,C4orf46,CARMIL1,CDON,CHDH,COL4A1,CSRNP3,DNAJC6,DOK6,EGR2,ENC1,FAM198B,FLRT3,G0S2,GCNT4,GLS,GXYLT2,HMOX1,IGDCC4,INPP5D,KCNS1,KCTD12,LGI3,LHFPL2,MYH13,NEGR1,PAIP2B,PDK4,PDPN,PKIA,PLEKHG4,PLPPR4,PNPLA2,RAP2B,RASEF,RNF144B,SLC14A1,SLC39A10,STARD7,STOM,SYN2,SYNPO2,THBS1,TMEM217,UBASH3B,ULK2,VEGFA,WFDC1",NA
miR-4520-2-3p (miRNAs w/seed UUGGACA),NA,mature microrna,NA,-0.988,1.11e-4,"ABLIM1,ARHGAP29,ARHGEF28,ASIC2,CCDC34,COL4A1,CREB5,EPHA5,GCNT4,GLS,GRIN2A,HIGD1A,KCNQ3,KLF9,LGR4,MAP3K8,NCOA3,NEDD4L,NEK11,PDZD2,PKD1L2,PRR5L,RGS6,RNF217,RSPO2,SAMD12,STARD7,TGFBR2,TJP2,TXNRD1",NA
TNFSF11,NA,cytokine,NA,-0.449,1.12e-4,"CCR1,DUSP1,EGR2,FOXO1,GADD45B,GCH1,GPR68,HMOX1,LDB2,MARCKSL1,NFIL3,PRDM1,RGL1,RHOB,SIGLEC15,SOCS1,TNFRSF11B,VCAM1",205 (16)
methylselenic acid,NA,chemical reagent,NA,NA,1.12e-4,"ADAMTS1,ATF3,BRCA1,CAMK4,CFLAR,DUSP10,FKBP5,GDF15,GPR37,HMMR,NEDD4L,NFIL3,RHOB,SAT1,SCD,TUBA4A,VEGFA,ZBTB16",169 (13)
miR-3187-3p (miRNAs w/seed UGGCCAU),NA,mature microrna,NA,-1.217,1.14e-4,"ABLIM1,APBB2,ARHGAP29,CCDC69,CFLAR,COL4A4,DKK2,DNM1,EDA,ERP27,FBN2,FGD4,FKBP5,GPR68,GRIN2A,INPP5D,MARCKSL1,MMD,NEDD9,NUAK1,PDPN,PDZD2,PER3,PIK3R3,PPTC7,QPRT,RAPGEF5,SCN7A,SLC19A3,SORL1,SYN3,TMEM26,TSPAN11,TUBB,ZCCHC6",NA
miR-4423-3p (miRNAs w/seed UAGGCAC),NA,mature microrna,NA,-0.672,1.17e-4,"ACVR1C,ADAMTS5,ADRA2A,AHCTF1,AMOT,AQP3,ARHGAP29,CALCOCO2,CCDC71L,CFLAR,COL4A3,FAM46C,FGD4,FZD5,GRIN2A,JADE1,KLF5,KLLN,LGR4,LRRTM2,MAOA,PDZD2,PIFO,PLCXD3,RASL11B,RSPO2,SLC38A2,TMEM47,TPPP3,TSPAN11,USP53",NA
miR-3547 (and other miRNAs w/seed GAGCACC),NA,mature microrna,NA,-0.353,1.26e-4,"ACSL1,ADAM12,ADAMTS14,APBB2,BDKRB2,BEGAIN,C1QTNF1,CIDEC,COL11A1,COL4A4,CRISPLD2,CYR61,EPHB2,ERRFI1,FAM46C,GPC2,GPR68,GXYLT2,LFNG,LGI3,LHFPL2,MEX3A,MMP15,NID1,NYNRIN,PDPN,PXDC1,RAB11FIP4,SIPA1L2,SLC14A1,SLC7A6,SSH2,ST8SIA1,STX11,TGFB2,TJP2,ULK2",NA
LMX1B,NA,transcription regulator,NA,1.98,1.28e-4,"COL4A3,COL4A4,CORIN,PTX3",NA
miR-670-5p (miRNAs w/seed UCCCUGA),NA,mature microrna,NA,-0.796,1.3e-4,"AASS,ABLIM1,ACSS1,ADAMTS14,ANPEP,APBB2,ARHGEF2,C10orf10,C19orf38,C7,C9orf3,CALCOCO2,CORO2B,CPM,CYP24A1,DMC1,ENPP1,EPHA4,FGF14,FGFR2,GLS,JADE1,KCNS1,LFNG,MOB3B,N4BP3,NEDD9,NEGR1,OLAH,PAIP2B,PDZD2,PKIA,RGL1,RND2,STARD7,SYDE2,TNIK,TSPAN11,USP53,WARS,WNT2,YPEL4",NA
CLOCK,NA,transcription regulator,NA,NA,1.31e-4,"ARHGEF28,DBP,FKBP5,GADD45B,GDNF,KCND3,KCNS1,MMP7,NFIL3,PER1,PER3,RAP2B,SMARCD2",NA
STAT5A,0.596,transcription regulator,NA,NA,1.36e-4,"ALDH3A1,AXIN2,CFLAR,CPA4,DUSP5,FABP4,FAM198B,GCHFR,MMP7,PRDM1,QPRT,SERPINA3,SOCS1,TCEAL3,TGFBR2,TIMP4,TM4SF1,TSPAN8,WARS",257 (17)
miR-1252-5p (miRNAs w/seed GAAGGAA),NA,mature microrna,NA,-1.56,1.4e-4,"ACKR2,ALPK3,ANGPTL1,BATF3,CARMIL1,CD302,CFLAR,CORO2B,CXCL12,DDAH1,DKK2,DOK6,DUSP10,ERP27,FAM46B,FIBIN,GCLM,HIF3A,KCNQ3,MYADM,NFE2,OLAH,OTOGL,PLCXD3,RAP2B,RND2,S1PR1,SAMD12,SEMA6D,SLC7A6,STC1,SYN3,TSLP,VGLL3",NA
miR-7a-5p (and other miRNAs w/seed GGAAGAC),NA,mature microrna,NA,0.276,1.41e-4,"ABHD5,ADAT2,AMOT,BRCA1,CARMIL1,CENPP,CHSY3,CXCL12,CYTH3,EDA,EGR3,FAM46C,FZD5,GDF5,GLS,GLUL,GRIN2A,IRS2,JADE1,KLF9,LYPD3,MXRA5,NID1,NR4A3,OSBPL3,PIK3R3,RAB11FIP4,SAMD12,SEMA6D,SLC16A12,SLC22A23,SLC38A2,SLC6A9,SORT1,STEAP2,STUM,TGFB2,TMEM26,TRNP1,UBASH3B,ULK2,WASF3,ZC2HC1C",NA
miR-1908-5p (and other miRNAs w/seed GGCGGGG),NA,mature microrna,NA,-0.499,1.48e-4,"ABLIM1,ACKR2,ADAMTS14,AIF1L,ANPEP,ASIC2,ATP2A2,BEGAIN,CALCOCO2,CCR1,COL4A3,CORO2B,CORO6,CPZ,CRABP2,DAPK2,DNM1,EFR3B,ENPP1,EPHB2,EPHB3,FAM20A,FAM43A,FZD8,HAPLN3,HSPA12B,IL34,KALRN,KLF15,LIMS2,LMF1,LOC102724788/PRODH,LRRC25,LSP1,MMP15,MYADM,NR4A1,NRXN3,PNPLA2,POU2F2,PXDC1,RAPGEF5,RASD2,RCOR2,RGS6,RHOB,SAMD4A,SCN1B,SPTBN4,STUM,SUN2,SYN2,YIF1B",NA
Hdac,NA,group,NA,-1.222,1.51e-4,"ADAMTS1,ATF3,CRABP2,CYP24A1,EGR3,GADD45B,GDNF,KLF6,KLF9,MT1E,NR4A1,TGFBR2,TRPC6",186 (12)
AR,NA,ligand-dependent nuclear receptor,NA,-0.161,1.53e-4,"ALOX15B,AQP3,ATP2A2,CAMK2A,CFLAR,CIT,CXCL12,FGFR2,FKBP5,GDF15,GDNF,LMOD1,MAOA,MT1X,MYOZ2,PER1,RHOB,SOX9,STEAP2,TGFB2,TGFBR2,THBS1,TSPAN8,VEGFA,ZBTB16",241 (23)
miR-16-5p (and other miRNAs w/seed AGCAGCA),NA,mature microrna,NA,-1.471,1.57e-4,"ACSL1,ADAM12,ADAMTS1,ADAMTS5,AMOT,ARHGAP42,AXIN2,CD163,CNIH3,COL4A1,CREB5,DNAJB4,DUSP10,E2F7,EDA,FAM196A,FAM63B,FGFR2,FKBP5,FOXO1,FRZB,G0S2,GPR63,GRAMD3,HIGD1A,HMOX1,HSPA4L,IRS2,ITGA10,KALRN,KANK1,KCNK15,LMOD1,LRRTM2,MAMDC2,MMD,MOB3B,MYADM,NEDD9,NKD1,NR4A3,NUAK1,NYNRIN,OMG,OSBPL3,OTOGL,PDK4,PDLIM5,PIK3R1,PIK3R3,PKDCC,PSAT1,RNF144B,RNF217,SAMD4A,SEMA3A,SEMA6D,SGCD,SIPA1L2,SLC39A10,SLITRK6,SORT1,STON1,SYDE2,TM4SF1,TMEM100,TNFSF13B,TNFSF9,TPPP3,TSC22D3,TUBA1A,TUBB,VEGFA,XDH,YIF1B,ZCCHC5,ZDHHC23,ZHX3,ZSCAN31",NA
SRF,0.905,transcription regulator,NA,1.431,1.6e-4,"ACTA2,ASB5,CORIN,CPM,DUSP5,EGR2,EGR3,FAM63B,FST,G0S2,GCH1,HIF3A,LBH,LMCD1,LMOD1,NR4A1,SEMA3A,SEMA6D,TAGLN,TJP2,TST",NA
miR-4460 (miRNAs w/seed UAGUGGU),NA,mature microrna,Inhibited,-2.263,1.61e-4,"ABHD5,ACVR1C,ASB5,C7,CEBPD,CFLAR,DNAJB4,EDA,EGR2,FAM105A,HRCT1,LHFPL2,LRRTM2,MCTP1,MEX3A,MMD,MTSS1,NR4A3,P2RY14,PLXDC1,PPP1CB,PPTC7,PRDM1,REV3L,SCN7A,SLC7A5",NA
miR-186-5p (miRNAs w/seed AAAGAAU),NA,mature microrna,NA,-0.939,1.63e-4,"ADAT2,AMOT,ANGPTL1,APBB2,ARHGAP42,ARMC8,C4orf46,C9orf3,EDA,FAM105A,FAM46C,FOXO1,GDNF,GPR37,HSD17B6,LHFPL2,LMO3,MEX3A,MEX3B,MPP3,NCKAP5,NCOA3,NEGR1,NOG,OSBPL3,P2RX7,PIK3R3,PPP1CB,PRDM1,PXDC1,SAMD12,SAMD4A,SCD,SLC22A23,SLC7A6,SORT1,STEAP2,SULT1C2,TGFBR2,TMEM35A,VEGFA,VGLL3,ZDHHC23",NA
ERK1/2,NA,group,NA,-0.107,1.64e-4,"BRCA1,CCL8,CFLAR,COL1A1,DUSP1,FABP4,FGFR2,FKBP5,FOXO1,IFIT1,IL12A,IRS2,NAMPT,NR4A3,SOX9,TSLP,TYMP,VCAM1,VEGFA",230 (21)
SB203580,NA,chemical - kinase inhibitor,NA,0.183,1.64e-4,"ACTA2,ATF3,BDKRB1,CCL8,CEBPD,COL1A1,DUSP1,HMOX1,IFIT1,MMP10,NAMPT,NR4A1,TAGLN,TGFB2,THBS1,TNFAIP6,TNFRSF11B,TRPC6,TYMP,VCAM1,VEGFA,XDH",220 (17)
chrysin,NA,chemical - endogenous non-mammalian,NA,NA,1.66e-4,"AQP3,GCLM,HMOX1,MMP10,PDE5A",NA
edratide,NA,biologic drug,NA,NA,1.67e-4,"EGR2,EGR3,FOXO3",NA
miR-4740-5p (miRNAs w/seed GGACUGA),NA,mature microrna,NA,0.327,1.68e-4,"ADORA1,AHCTF1,ANGPTL1,ARHGAP29,ASB5,BMPER,BRCA1,CREB5,CSRNP3,EDA,ENPP1,FOXO1,GCNT4,GPR68,HPS5,IGDCC4,KCNQ3,LIF,MAOA,NFIL3,NYNRIN,PCDHGC5,PLB1,RAPGEF5,RHOB,RND2,S1PR1,SEMA6D,SLC38A2,SULT1C2,TMEM119,TMEM200A",NA
MAPK7,0.796,kinase,NA,1.054,1.69e-4,"ADAMTS1,DUSP1,HMOX1,NOV,NR4A1,STEAP4,VEGFA",234 (20)
mifepristone,NA,chemical drug,NA,-0.791,1.71e-4,"ATF3,CEBPD,DIO2,DUSP1,EGR2,EPHB3,FKBP5,FST,INHBB,IRS2,LAMA2,NCOA3,NR4A1,P2RX7,PRKG2,RAMP3,RHOB,ROBO1,TNFAIP6",292 (22)
Calcineurin protein(s),NA,complex,Activated,2.769,1.71e-4,"ATP2A2,DUSP1,EGR2,KCNQ3,NFIL3,NR4A1,NR4A3,TRPC6",189 (19)
miR-3137 (miRNAs w/seed CUGUAGC),NA,mature microrna,NA,-1.33,1.72e-4,"ABHD5,ACSS1,ANGPTL1,ARMC8,CARMIL1,CORIN,CORO2B,EBF1,EPHA5,FAM20A,FAM46C,GALNT15,GDNF,HSPA4L,INPP5A,JADE1,MEST,NEDD4L,NEGR1,NFE2,NOG,NPAS2,PLCXD3,PLPPR4,RASL11B,RSPO2,UBASH3B,USP53",NA
VEGFA,-1.066,growth factor,NA,0.301,1.73e-4,"ACSL1,ADAMTS1,ANPEP,COL1A1,CXCL12,CYR61,DUSP5,FABP4,HMOX1,INPP5D,MMP15,NR4A1,STC1,THBS1,TJP2,TRPC6,VCAM1,VEGFA",229 (24)
miR-1343-3p (and other miRNAs w/seed UCCUGGG),NA,mature microrna,NA,0.84,1.75e-4,"ACSS1,ADAMTS14,ADORA1,ALDH6A1,ALPK3,ASIC2,BDKRB2,CACNB2,CCDC69,CES3,CFLAR,CPA4,ENC1,EPHA5,EPHB3,FAIM2,FAM105A,FAM198B,FAM20A,FAM43A,FAM46A,GDF5,GDNF,HRCT1,HSPA6,ITGA10,KCNE3,KCNS1,KLF9,LAMA2,LMOD1,LRRC25,MOB3B,NKD1,NPC1L1,P2RX7,PDK4,PIFO,PPP1R1B,PREB,QPRT,RAB11FIP4,RASL11B,RGS6,SAMD12,SCARF1,SLC14A1,SLC7A5,SMTNL2,SYN3,TGFBR2,TIMP4,TLDC2,TMEM26,TMEM37,TSPAN11,ULK2,VEGFA,ZDHHC23",NA
miR-3170 (and other miRNAs w/seed UGGGGUU),NA,mature microrna,NA,0.437,1.78e-4,"ABHD5,ADAMTS14,ADHFE1,AIF1L,ALPK3,BRCA1,C9orf3,CCR1,COL1A1,DBP,DMC1,ENDOD1,FAM46C,FGD4,FRZB,GRIN2A,HMMR,IFI44L,KALRN,LRRC25,MAFF,MARCKSL1,MEX3A,MEX3B,NEDD9,NYNRIN,PLXDC1,PREB,QPRT,SAMD12,SLC14A1,SSH2,SYNPO2,TNFRSF11B,TNFSF15,TPPP,TRPC6,ZCCHC6",NA
SU6656,NA,chemical toxicant,NA,-0.896,1.81e-4,"ATF3,GDNF,GFPT2,NFIL3,TNFRSF11B,VEGFA",169 (16)
lactacystin,NA,chemical - protease inhibitor,NA,1.024,1.83e-4,"ATF3,BRCA1,CFLAR,CYP24A1,DUSP1,FOXO1,HMGB2,HMOX1,IL12A,IRS2,NEDD9,NR4A1,PRKCE,SAT1,TXNRD1",241 (22)
FGF1,NA,growth factor,NA,-1.278,1.87e-4,"AXIN2,CYR61,FZD8,GCLM,GDNF,HMOX1,LRRC17,TGFB2,THBS1,VCAM1,VEGFA",243 (20)
VGLL3,1.236,other,NA,0.0,1.88e-4,"COL1A1,GADD45B,SOX9,THBS1",NA
Jnk,NA,group,NA,0.184,1.94e-4,"ACTA2,ADARB1,BRCA1,CFLAR,COL1A1,CXCL12,DUSP1,FABP4,GDF15,GDNF,HMOX1,KLF6,NR4A1,TGFBR2,VCAM1",248 (19)
C/ebp,NA,group,NA,1.387,1.95e-4,"ADH1B,ADH1C,ALDH3A1,DIO2,FOXO1,IL12A,LEP",166 (10)
miR-1248 (miRNAs w/seed CCUUCUU),NA,mature microrna,NA,-1.545,1.98e-4,"ABLIM1,ADAMTS1,ADARB1,ADAT2,CCDC34,COL11A1,EFR3B,EPHA5,EVA1C,GPR20,IL12A,KLF6,LGR4,MYOZ2,NEGR1,PRDM1,PRKCE,SAMD12,SAMD4A,SGCD,SLC7A6,SPINT2,SYNPO2,TXNRD1,UBASH3B,VGLL3",NA
miR-4792 (miRNAs w/seed GGUGAGC),NA,mature microrna,NA,-0.008,2.04e-4,"C10orf10,CDC42EP3,CH25H,CPA4,CPM,EFR3B,ENC1,EPHB2,FAM105A,FSTL3,HIF3A,HMMR,KALRN,KANK1,KLHDC7B,KLHL42,LEP,LFNG,LGI3,LMOD1,OMD,PKNOX2,PLPPR4,PTPRCAP,RAB11FIP4,RGCC,RGS6,RND2,SGCD,SLC7A5,STUM,SYN3,TST",NA
miR-378a-3p (and other miRNAs w/seed CUGGACU),NA,mature microrna,Inhibited,-2.276,2.08e-4,"AASS,ADHFE1,ADORA1,AHCTF1,ALPK3,C4orf46,CSRNP3,CTTNBP2,CYTH3,DNAJC6,FKBP5,FZD5,GALM,GFPT2,GLS,GPM6B,KCNS1,KLF15,LIF,LMOD1,MAFF,MAOA,MOB3B,MPP3,PDZD2,PIK3R3,PKD1L2,PKDCC,RAPGEF5,RNF144B,S1PR1,SLC7A6,SORBS1,SSH2,SYN2,SYNPO2,ZNF821",NA
NFIX,NA,transcription regulator,NA,1.165,2.11e-4,"ADAM12,ADRA1B,FABP4,SERPINA3,SPARCL1",NA
EIF4EBP1,NA,translation regulator,NA,-0.132,2.11e-4,"CEBPD,CFLAR,LEP,PNPLA2,SOCS1",117 (7)
PIAS1,NA,transcription regulator,Activated,2.19,2.15e-4,"ACTA2,KLF5,RRAD,SCD,SLC51B,TAGLN",NA
miR-1225-3p (miRNAs w/seed GAGCCCC),NA,mature microrna,NA,-1.185,2.17e-4,"ABAT,ADAM12,ADAMTS14,AIF1L,ALPK3,AP1M1,C19orf38,CENPP,CFLAR,CHDH,COL4A4,COMP,CORO2B,CORO6,CSRNP3,DAAM2,DAPK2,DUSP1,EFR3B,FAM46B,FGD4,FGF14,GALM,GPRC5B,HIF3A,ITGA10,JADE1,KALRN,KCNK15,KLHDC7B,LMF1,MCHR1,MMP15,NKD1,PCYT2,PHC2,PKNOX2,PRKCE,PRR5L,PXDC1,RAMP3,RND2,RNF144B,SERPINA3,SLC22A23,SLC7A14,SLC7A6,STUM,SYNPO2,TEX2,TJP2,TMEM119,TSPAN11",NA
miR-129-1-3p (and other miRNAs w/seed AGCCCUU),NA,mature microrna,NA,1.759,2.2e-4,"AIF1L,BDKRB2,BMPER,CALCOCO2,CDC42EP3,CXCL12,DKK2,EFR3B,EGR2,EPHB2,FAM105A,GCHFR,GRIN2A,KLF6,LHFPL2,P2RX7,P2RY14,PCYT2,PDE5A,PHC2,PIEZO2,PIFO,PKIA,PLPPR4,PRKCE,ROBO1,RPS6KA5,RSPO1,SCARF1,SLC14A1,SLC19A3,SLC7A14,TMEM100,TMEM119,TNFSF15",NA
miR-760-3p (and other miRNAs w/seed GGCUCUG),NA,mature microrna,NA,-0.714,2.22e-4,"ABAT,ACSS1,ADAM12,AFAP1L2,ALPK3,ARHGAP28,ARMC8,ATF3,BATF3,BRCA1,CCR1,CD163,CDC42EP3,CITED4,CORO2B,DIO2,EPHB2,EPHB3,FAM105A,FNDC5,HRCT1,KCNS1,KCTD12,KIAA1755,KLF15,LBH,LMF1,MAFF,MAOA,MEX3A,N4BP3,NCKAP5,NKD1,NR4A3,PAIP2B,PCDHGC5,PDK4,PHC2,PKD1L2,PRKG2,RGS6,RHOJ,RND1,SCARF1,SGCD,SPTBN4,STARD7,TEX2,TJP2,TM4SF1,TSC22D3,TSPAN11,ZHX3",NA
miR-190a-5p (and other miRNAs w/seed GAUAUGU),NA,mature microrna,Inhibited,-2.03,2.22e-4,"AASS,ALPK3,ANGPTL1,CACNB2,COL11A1,CRISPLD2,CYP24A1,EPHA5,FGF14,KCTD12,KLF15,KLHL42,LRRTM2,MEX3B,NAV3,NEGR1,NPAS2,NRXN3,RGL1,RNF144B,SAMD4A,SCN7A,STC1,ZSCAN31",NA
CD38,NA,enzyme,NA,1.32,2.22e-4,"CITED2,HIGD1A,HMMR,LFNG,MYADM,NFIL3,PRDM1,PSAT1,RASGRP2,SAP30,SLC7A5,SOCS1,VCAM1",NA
miR-3173-5p (and other miRNAs w/seed GCCCUGC),NA,mature microrna,NA,-0.666,2.24e-4,"ABAT,ADAMTS14,AFAP1L2,AGTRAP,AIF1L,AMPH,ANPEP,BDH1,C10orf10,CCDC69,CENPP,CHDH,COL4A1,CXCL12,CYP24A1,CYTH3,DOK6,EFR3B,EPHB2,FAIM2,FAM107A,FNDC5,FSTL3,GPC2,GPRC5B,HRCT1,IL34,JADE1,KALRN,KCNE3,KLF15,LGR4,LIF,MCHR1,MOB3B,N4BP3,NAV3,PCYT2,PHC2,POU2F2,PRDM1,PRR5L,PXDC1,RGS6,RSPO1,SLC7A6,SORT1,SOX4,STUM,TENM4,TMEM37,TMEM47,TRPV6,TXNRD1,VWCE,YIF1B,YPEL4",NA
miR-3198 (and other miRNAs w/seed UGGAGUC),NA,mature microrna,NA,0.718,2.24e-4,"ADAMTS14,ADRA2A,ALDH6A1,ALOX15B,ARHGAP42,ARHGEF2,ATP2A2,B3GALT2,BDKRB2,CPM,CSRNP3,DNAJC6,EBF1,EDA,FAM198B,KALRN,LAMA2,LFNG,LHFPL2,LRRTM2,NCKAP5,NEGR1,NR4A1,P2RX7,PKIA,PKNOX2,PRDM1,SLC39A10,ST8SIA1,SYNPO2,TMEM35A,TNFRSF11B,TNFSF15,WNT2",NA
miR-4312 (miRNAs w/seed GCCUUGU),NA,mature microrna,NA,-0.854,2.25e-4,"ABHD5,CAMK4,CHST7,CNIH3,CXCL12,DIO2,EDA,EMID1,GFPT2,GRIN2A,IRS2,MAMDC2,MCHR1,N4BP3,NKD1,NR4A3,P2RX7,PIK3R1,PLXDC1,PRDM1,RHOB,RHOJ,RSPO2,TENM4,UBASH3B,WASF3,ZDHHC23",NA
metribolone,NA,chemical reagent,NA,0.616,2.28e-4,"ADAMTS1,CDKN2B,ERRFI1,FKBP5,FOXO1,GDF15,MAOA,NEDD4L,SAT1,SOCS1,STEAP2,THBS1,TM4SF1,TSC22D1,VEGFA",286 (22)
ID3,NA,transcription regulator,NA,1.265,2.36e-4,"DUSP1,DUSP10,EGR2,FOXO1,FOXO3,GADD45B,ICOSLG/LOC102723996,KLF6,NR4A1,NR4A3,PIK3R1,PTPN22,SOX4,ZBTB16",174 (13)
GLI1,NA,transcription regulator,NA,-0.596,2.41e-4,"COL1A1,DIO2,EGR3,IMPA2,MEST,NAV3,NOG,PLXDC1,PRKCE,RHOB,SOX9,TMEM100,TNFSF13B,TSC22D1,VEGFA",160 (7)
miR-4448 (miRNAs w/seed GCUCCUU),NA,mature microrna,NA,-0.561,2.43e-4,"AQP3,ARMC8,BDKRB2,C1QTNF1,CALCOCO2,CCDC69,CDON,CPA4,EDA,FLRT3,GPAT3,INPP5D,LRRC4,LRRN1,MAP3K8,MYO16,NEGR1,NEK11,NUAK1,OTOGL,PIEZO2,RAP2B,REV3L,SGCD,SLC7A14,SLC7A5,SLC7A6,SORT1,SOWAHA,ST8SIA1,TGFBR2,UBASH3B,ULK2,ZDHHC23",NA
miR-938 (miRNAs w/seed GCCCUUA),NA,mature microrna,NA,0.029,2.45e-4,"AASS,ADRA2A,CALCOCO2,CCDC34,CFLAR,CHST7,CREB5,EFR3B,ENDOD1,EPHA5,ERVMER34-1,FNDC5,GRIN2A,IL12A,JADE1,KALRN,LHFPL2,N4BP3,PRDM1,RAB11FIP4,RAP2B,RNF144B,SCARF1,SEMA3A,SLC7A6,SSH2,STC1,TMEM100",NA
CNTF,NA,cytokine,NA,-0.174,2.47e-4,"BDH1,CEBPD,LEP,LIF,NGF,PPP1R1B,SCD,SERPINA3,SOCS1",183 (13)
miR-1910-5p (miRNAs w/seed CAGUCCU),NA,mature microrna,NA,-1.142,2.5e-4,"ABHD5,ABLIM1,AGTRAP,AIF1L,ARHGAP29,BMPER,BRCA1,C7,CDH4,CIDEC,DNAJB4,EPHA4,EPHB2,FNDC5,FOXO1,FSTL3,GPRC5B,HSPA12B,IRS2,KALRN,KLF6,MYOZ2,NGF,PIFO,PPTC7,PTX3,RND2,SAMD12,SLC5A6,SMARCD2,ST8SIA1,TJP2,TM4SF1,TNIK,TSC22D1,TSPAN32",NA
PRKAA1,0.854,kinase,NA,0.508,2.51e-4,"ACTA2,ATF3,CD302,CXCL12,DDAH1,FGFR2,FOXO3,GALM,HIGD1A,SORL1",164 (9)
MECP2,0.3,transcription regulator,NA,-0.905,2.54e-4,"ADAM12,BRCA1,CAMK2A,CDKN2B,FKBP5,GRIN2A,HBA1/HBA2,NAV3,NR4A1,SYN3,VEGFA",NA
LTBR,NA,transmembrane receptor,NA,0.0,2.54e-4,"ACTA2,CXCL12,GPM6B,MFGE8,PDPN,TNFSF13B,VCAM1",135 (9)
miR-339-5p (and other miRNAs w/seed CCCUGUC),NA,mature microrna,NA,-1.121,2.59e-4,"ACKR2,ADRA2A,ARHGAP29,ARHGEF2,ARSI,C9orf3,CACNB2,CALCOCO2,CFLAR,COL11A1,DAAM2,DOK6,EFR3B,ENC1,EOGT,EPHB3,EVI2A,FAM196A,FGD4,FKBP5,ICOSLG/LOC102723996,JADE1,KANK4,KLF5,KLHDC7B,KLLN,LBH,LRRTM2,METTL7A,MMP15,MOB3B,NAV3,NCKAP5,NUAK1,PAIP2B,POU2F2,RGL1,RSPO1,SCARF1,SGCD,SORBS1,SORT1,SSH2,SYNPO2,TMEM119,TUBA1A,VEGFA",NA
miR-541-3p (and other miRNAs w/seed GGUGGGC),NA,mature microrna,NA,-1.015,2.62e-4,"ADAMTS14,ALOX15B,ALPK3,AP1M1,APBB2,ARHGAP29,ATF3,CACNB2,CAMK2A,CCDC69,CFLAR,CILP,COL4A3,CRABP2,DNAJC6,DUSP23,EPHA5,FAM107A,FAM20A,FSTL3,GDF5,GPM6B,GPR68,GRIN2A,HAPLN3,HIF3A,ITGA10,KCNK15,KCTD12,KLF15,LFNG,LIF,LMOD1,MEST,METTL7A,MEX3A,MTSS1,NEDD4L,NPAS2,PCYT2,PPP1R1B,RAB11FIP1,RAP2B,RASD2,RCOR2,RND2,SGCD,SLC7A5,SORBS1,SORT1,SPTBN4,STC1,STUM,SYDE2,TLDC2,TMEM119,TNFSF15,TNFSF9,TPPP3,TRPC6,TSPAN11,ULK2,ZHX3",NA
miR-30a-3p (and other miRNAs w/seed UUUCAGU),NA,mature microrna,NA,-1.342,2.63e-4,"ARMC8,CYR61,SLC7A6,THBS1,TUBA1A",NA
PER2,-0.909,transcription regulator,Inhibited,-2.0,2.66e-4,"DBP,LEP,PER1,PER3",14 (2)
